filename,width,height,class,xmin,ymin,xmax,ymax
Pias (358).jpg,640,360,three wheelers (CNG),353,182,374,248
Pias (358).jpg,640,360,three wheelers (CNG),405,184,446,232
Pias (358).jpg,640,360,motorbike,440,235,471,283
Pias (358).jpg,640,360,bus,465,68,493,252
Dipto_580.jpg,1920,1080,bus,756,396,1060,765
Dipto_580.jpg,1920,1080,pickup,1074,458,1194,659
Pias (27).jpg,854,480,motorbike,626,330,698,427
Pias (27).jpg,854,480,minivan,663,271,847,430
Pias (27).jpg,854,480,car,482,282,584,366
Pias (27).jpg,854,480,car,428,271,456,294
Pias (27).jpg,854,480,car,467,274,490,296
Pias (27).jpg,854,480,three wheelers (CNG),103,260,236,367
Pias (27).jpg,854,480,minivan,167,252,276,321
Pias (27).jpg,854,480,van,263,233,357,302
Navid_691.jpg,1920,1080,rickshaw,66,753,178,920
Navid_691.jpg,1920,1080,rickshaw,576,787,603,822
Navid_691.jpg,1920,1080,rickshaw,605,786,629,822
Navid_691.jpg,1920,1080,three wheelers (CNG),485,783,525,834
86459935_217888379262126_8991547118309081088_n.jpg,2304,4096,minibus,5,1338,464,1638
86459935_217888379262126_8991547118309081088_n.jpg,2304,4096,motorbike,434,1501,580,1635
86459935_217888379262126_8991547118309081088_n.jpg,2304,4096,minibus,682,1117,1473,2074
86459935_217888379262126_8991547118309081088_n.jpg,2304,4096,car,1550,1499,1730,1636
86459935_217888379262126_8991547118309081088_n.jpg,2304,4096,car,521,1481,609,1519
Navid_220.jpg,1280,720,motorbike,513,261,618,422
Navid_220.jpg,1280,720,car,654,188,809,294
Navid_220.jpg,1280,720,rickshaw,263,200,365,344
Navid_220.jpg,1280,720,rickshaw,111,226,218,367
Pias (339).jpg,640,360,bus,476,23,640,349
Pias (339).jpg,640,360,bus,449,149,492,184
Pias (339).jpg,640,360,bus,394,160,425,183
Pias (339).jpg,640,360,car,431,189,482,225
Pias (339).jpg,640,360,car,401,182,441,207
Pias (339).jpg,640,360,pickup,365,174,389,197
Pias (339).jpg,640,360,motorbike,334,197,351,224
Pias (339).jpg,640,360,pickup,304,173,327,189
Navid_696.jpg,1920,1080,suv,802,692,990,863
Navid_696.jpg,1920,1080,rickshaw,324,702,411,841
Asraf_56.jpg,1920,1080,pickup,1317,610,1602,910
Asraf_56.jpg,1920,1080,pickup,1264,610,1421,747
Asraf_56.jpg,1920,1080,minivan,1047,657,1319,945
Asraf_56.jpg,1920,1080,minivan,6,455,653,1072
Asraf_56.jpg,1920,1080,car,847,721,1045,863
Asraf_56.jpg,1920,1080,bus,762,621,953,833
Asraf_56.jpg,1920,1080,car,1839,708,1904,774
Asraf_56.jpg,1920,1080,car,553,710,747,870
Asraf_56.jpg,1920,1080,suv,1011,715,1047,759
Pias (414).jpg,1280,720,bus,685,324,771,430
Dipto_774.jpg,1920,1080,three wheelers (CNG),852,527,882,572
Dipto_774.jpg,1920,1080,car,872,534,939,586
Dipto_774.jpg,1920,1080,car,747,538,827,601
Dipto_774.jpg,1920,1080,three wheelers (CNG),1241,516,1351,630
Dipto_774.jpg,1920,1080,three wheelers (CNG),816,534,838,564
Dipto_774.jpg,1920,1080,three wheelers (CNG),729,531,762,582
Dipto_ 333.jpg,1920,1080,bus,677,359,1662,833
Navid_587.JPG,3024,4032,minivan,707,1947,1307,2425
Navid_587.JPG,3024,4032,human hauler,1324,1947,1587,2219
Navid_587.JPG,3024,4032,car,1624,1995,1776,2121
Navid_587.JPG,3024,4032,three wheelers (CNG),1778,1977,1830,2076
Navid_587.JPG,3024,4032,rickshaw,1832,1975,1932,2145
Navid_587.JPG,3024,4032,rickshaw,2491,1958,2589,2099
Dipto_474.jpg,1347,457,bus,513,217,654,300
Dipto_474.jpg,1347,457,bus,673,70,1009,450
Dipto_474.jpg,1347,457,bus,1216,160,1305,227
Dipto_474.jpg,1347,457,truck,1010,164,1068,291
Dipto_474.jpg,1347,457,truck,1058,139,1194,317
Dipto_474.jpg,1347,457,truck,1308,174,1347,216
Pias (180).jpg,854,480,minivan,520,303,854,479
Pias (180).jpg,854,480,bus,527,243,776,329
Pias (180).jpg,854,480,car,489,288,601,332
Pias (180).jpg,854,480,car,324,288,461,355
Pias (180).jpg,854,480,car,210,274,280,326
Pias (180).jpg,854,480,car,274,274,296,306
Pias (180).jpg,854,480,car,145,270,215,335
Pias (180).jpg,854,480,car,25,255,81,289
Pias (180).jpg,854,480,motorbike,72,296,95,336
Pias (180).jpg,854,480,bus,140,236,184,270
Pias (180).jpg,854,480,pickup,389,264,424,287
Pias (180).jpg,854,480,motorbike,83,350,203,480
Navid_305.jpg,1280,720,car,416,385,504,462
Navid_305.jpg,1280,720,minivan,496,334,537,379
Navid_305.jpg,1280,720,bus,533,300,576,339
Navid_305.jpg,1280,720,three wheelers (CNG),856,360,921,424
Navid_305.jpg,1280,720,suv,709,346,774,405
Navid_305.jpg,1280,720,three wheelers (CNG),762,342,795,380
Pias (98).jpg,854,480,three wheelers (CNG),504,274,577,364
Pias (98).jpg,854,480,car,332,285,451,386
Pias (98).jpg,854,480,car,439,272,471,301
Pias (98).jpg,854,480,car,348,277,394,307
Pias (98).jpg,854,480,minivan,156,249,243,298
Pias (98).jpg,854,480,car,232,263,267,288
Pias (98).jpg,854,480,car,286,266,316,283
Pias (98).jpg,854,480,three wheelers (CNG),312,263,337,285
Screenshot (8).png,1366,768,van,322,317,911,767
Screenshot (8).png,1366,768,motorbike,1081,357,1364,767
Screenshot (8).png,1366,768,rickshaw,849,320,962,481
Screenshot (8).png,1366,768,bus,465,223,665,324
Screenshot (8).png,1366,768,bus,1157,218,1366,348
Navid_535.jpg,1920,1080,motorbike,1011,461,1290,912
Navid_535.jpg,1920,1080,motorbike,929,515,1010,794
Navid_535.jpg,1920,1080,motorbike,778,523,929,800
Navid_535.jpg,1920,1080,wheelbarrow,76,578,441,806
Navid_535.jpg,1920,1080,rickshaw,1715,452,1757,502
Navid_535.jpg,1920,1080,motorbike,1889,432,1920,487
Pias (256).jpg,854,480,car,79,324,829,479
Pias (256).jpg,854,480,car,649,322,854,467
Pias (256).jpg,854,480,car,353,275,582,361
Pias (256).jpg,854,480,car,462,269,591,336
Pias (256).jpg,854,480,car,548,271,626,329
Pias (256).jpg,854,480,van,500,250,636,307
Pias (256).jpg,854,480,suv,135,232,357,344
Pias (256).jpg,854,480,suv,338,247,463,286
Pias (256).jpg,854,480,car,9,237,160,354
Pias (256).jpg,854,480,car,1,222,55,272
Pias (256).jpg,854,480,car,41,216,96,238
Pias (256).jpg,854,480,car,86,232,159,264
Pias (256).jpg,854,480,pickup,111,200,185,235
Pias (256).jpg,854,480,three wheelers (CNG),644,284,786,368
Pias (256).jpg,854,480,car,477,252,510,266
Navid_293.jpg,1280,720,car,785,383,926,468
Navid_293.jpg,1280,720,three wheelers (CNG),227,348,283,411
Navid_293.jpg,1280,720,three wheelers (CNG),331,314,363,353
Navid_293.jpg,1280,720,minivan,435,305,463,338
Navid_293.jpg,1280,720,three wheelers (CNG),568,312,587,334
Navid_293.jpg,1280,720,bus,410,284,435,315
Dipto_826.jpg,1920,1080,car,518,686,1181,1080
Dipto_826.jpg,1920,1080,suv,144,702,454,943
Dipto_826.jpg,1920,1080,three wheelers (CNG),487,739,587,859
Dipto_826.jpg,1920,1080,minivan,1048,690,1416,957
Dipto_826.jpg,1920,1080,minivan,1320,525,1905,1068
Dipto_407.jpg,1920,1080,bus,687,404,1009,802
Dipto_407.jpg,1920,1080,bus,1800,631,1902,716
Numan_(457).jpg,1080,1920,three wheelers (CNG),197,720,440,935
Numan_(457).jpg,1080,1920,three wheelers (CNG),964,758,1007,811
Numan_(457).jpg,1080,1920,van,1010,753,1075,820
Numan_(287).jpg,1906,1080,truck,433,138,685,655
Numan_(287).jpg,1906,1080,truck,271,136,488,453
Numan_(287).jpg,1906,1080,truck,663,1,1891,1068
Numan_(287).jpg,1906,1080,bus,6,6,222,1077
Pias (394).jpg,1280,720,truck,1,300,104,460
Pias (394).jpg,1280,720,pickup,101,339,292,470
Pias (394).jpg,1280,720,truck,297,345,470,412
Pias (394).jpg,1280,720,bus,698,360,723,390
Navid_642.JPG,4096,2304,suv,2179,1310,2833,1589
Navid_642.JPG,4096,2304,three wheelers (CNG),1483,1268,1904,1560
Navid_366.jpg,1125,835,car,447,477,515,528
Navid_366.jpg,1125,835,truck,603,416,697,526
Navid_366.jpg,1125,835,truck,571,420,603,505
Navid_366.jpg,1125,835,truck,464,451,493,480
Navid_366.jpg,1125,835,truck,410,457,441,491
Navid_366.jpg,1125,835,minivan,334,473,386,495
Navid_366.jpg,1125,835,rickshaw,275,478,307,523
Navid_366.jpg,1125,835,truck,157,463,246,529
Navid_366.jpg,1125,835,rickshaw,1007,469,1066,545
Navid_366.jpg,1125,835,rickshaw,1075,472,1122,544
Dipto_716.jpg,640,352,bus,53,164,150,212
Dipto_716.jpg,640,352,bus,473,142,573,175
Dipto_716.jpg,640,352,bus,570,129,640,172
Dipto_716.jpg,640,352,car,92,216,150,249
Dipto_716.jpg,640,352,rickshaw,54,232,91,260
Dipto_716.jpg,640,352,bus,355,143,413,174
Dipto_716.jpg,640,352,pickup,442,135,471,167
Dipto_716.jpg,640,352,truck,176,158,263,202
Dipto_716.jpg,640,352,truck,207,147,306,184
Pias (208).jpg,1280,720,car,507,414,1280,719
Pias (208).jpg,1280,720,car,16,374,204,460
Pias (208).jpg,1280,720,car,520,340,563,372
Pias (208).jpg,1280,720,minivan,841,304,1075,418
Pias (208).jpg,1280,720,three wheelers (CNG),686,326,757,398
Pias (208).jpg,1280,720,rickshaw,624,329,652,373
Pias (208).jpg,1280,720,rickshaw,665,330,692,380
Pias (208).jpg,1280,720,rickshaw,781,328,840,380
Pias (208).jpg,1280,720,motorbike,552,420,726,520
Pias (208).jpg,1280,720,bus,227,261,406,416
Pias (208).jpg,1280,720,bus,411,301,521,394
Pias (208).jpg,1280,720,rickshaw,46,365,69,394
Navid_89.jpg,1920,1080,rickshaw,517,149,943,823
Navid_89.jpg,1920,1080,rickshaw,1341,178,1521,425
Navid_89.jpg,1920,1080,rickshaw,243,166,459,480
Navid_89.jpg,1920,1080,rickshaw,445,158,570,398
Navid_89.jpg,1920,1080,rickshaw,129,162,249,335
Navid_89.jpg,1920,1080,minivan,1208,166,1419,358
Dipto_ 239.jpg,1920,1080,bus,11,10,611,1074
Navid_232.jpg,1920,1080,car,1269,643,1614,849
Navid_232.jpg,1920,1080,car,933,582,1188,757
Navid_232.jpg,1920,1080,van,1198,739,1512,1080
Navid_232.jpg,1920,1080,motorbike,735,758,945,941
Navid_232.jpg,1920,1080,motorbike,661,694,816,802
Navid_232.jpg,1920,1080,motorbike,6,858,225,1015
Navid_232.jpg,1920,1080,motorbike,2,945,215,1080
Navid_232.jpg,1920,1080,bus,892,300,1363,635
Navid_232.jpg,1920,1080,car,532,462,710,561
Navid_232.jpg,1920,1080,bus,605,358,862,509
Navid_232.jpg,1920,1080,rickshaw,6,470,82,562
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),1096,508,1200,602
02_Shahbag_280714_0037.jpg,1200,800,van,811,406,926,498
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),409,491,477,576
02_Shahbag_280714_0037.jpg,1200,800,motorbike,331,374,352,404
02_Shahbag_280714_0037.jpg,1200,800,motorbike,472,409,496,450
02_Shahbag_280714_0037.jpg,1200,800,motorbike,798,369,827,401
02_Shahbag_280714_0037.jpg,1200,800,motorbike,827,358,848,384
02_Shahbag_280714_0037.jpg,1200,800,motorbike,404,262,414,275
02_Shahbag_280714_0037.jpg,1200,800,motorbike,480,246,489,254
02_Shahbag_280714_0037.jpg,1200,800,motorbike,570,262,580,276
02_Shahbag_280714_0037.jpg,1200,800,taxi,352,245,369,259
02_Shahbag_280714_0037.jpg,1200,800,pickup,372,239,390,259
02_Shahbag_280714_0037.jpg,1200,800,bus,330,227,353,257
02_Shahbag_280714_0037.jpg,1200,800,bus,327,215,348,227
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),383,334,411,372
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),358,295,379,320
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),583,305,611,334
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),511,267,526,288
02_Shahbag_280714_0037.jpg,1200,800,suv,485,267,513,293
02_Shahbag_280714_0037.jpg,1200,800,car,424,321,462,349
02_Shahbag_280714_0037.jpg,1200,800,car,356,262,378,282
02_Shahbag_280714_0037.jpg,1200,800,car,490,247,512,262
02_Shahbag_280714_0037.jpg,1200,800,car,440,247,458,264
02_Shahbag_280714_0037.jpg,1200,800,car,384,233,395,241
02_Shahbag_280714_0037.jpg,1200,800,car,372,217,382,225
02_Shahbag_280714_0037.jpg,1200,800,car,402,221,414,232
02_Shahbag_280714_0037.jpg,1200,800,car,361,232,369,243
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),465,244,478,258
02_Shahbag_280714_0037.jpg,1200,800,car,418,270,444,291
02_Shahbag_280714_0037.jpg,1200,800,three wheelers (CNG),432,228,439,238
02_Shahbag_280714_0037.jpg,1200,800,bus,585,272,647,309
Navid_566.jpg,1920,1080,motorbike,1269,592,1351,829
Navid_566.jpg,1920,1080,motorbike,1210,610,1269,801
Navid_566.jpg,1920,1080,rickshaw,1354,609,1402,684
Navid_566.jpg,1920,1080,car,1498,607,1531,638
Navid_566.jpg,1920,1080,three wheelers (CNG),1564,560,1713,729
Navid_566.jpg,1920,1080,three wheelers (CNG),1715,563,1775,638
Dipto_21.jpg,1280,720,bus,883,65,1276,720
Dipto_21.jpg,1280,720,truck,747,273,821,347
Dipto_21.jpg,1280,720,human hauler,666,290,705,338
Dipto_21.jpg,1280,720,bus,722,268,768,331
Dipto_21.jpg,1280,720,car,707,294,726,316
Numan_(248).jpg,1906,1080,bus,294,3,1904,1072
Numan_(248).jpg,1906,1080,van,240,229,338,424
Numan_(248).jpg,1906,1080,car,180,226,266,344
Numan_(248).jpg,1906,1080,bus,6,1,157,1080
Numan_(341).jpg,1920,1080,car,1270,721,1890,1037
Numan_(341).jpg,1920,1080,pickup,1034,598,1256,853
Numan_(341).jpg,1920,1080,bus,1340,670,1531,761
Numan_(341).jpg,1920,1080,bus,257,555,663,832
Numan_(341).jpg,1920,1080,bus,795,601,976,832
Numan_(341).jpg,1920,1080,minivan,984,715,1037,775
Numan_(341).jpg,1920,1080,bus,748,663,803,782
Numan_(245).jpg,1906,1080,pickup,398,88,1071,759
Numan_(245).jpg,1906,1080,truck,231,188,425,474
Numan_(245).jpg,1906,1080,truck,163,138,300,378
Numan_(245).jpg,1906,1080,bus,2,5,163,1080
Dipto_841.jpg,1920,1080,rickshaw,181,541,289,712
Dipto_841.jpg,1920,1080,rickshaw,385,543,483,680
Dipto_841.jpg,1920,1080,three wheelers (CNG),956,553,1034,646
Dipto_841.jpg,1920,1080,three wheelers (CNG),664,573,710,604
Dipto_841.jpg,1920,1080,bus,998,538,1079,606
Dipto_841.jpg,1920,1080,car,1084,566,1132,601
Dipto_841.jpg,1920,1080,car,1618,563,1675,592
Dipto_841.jpg,1920,1080,bus,1604,539,1693,577
Navid_119.jpg,1920,1080,suv,1121,688,1521,886
Navid_119.jpg,1920,1080,car,1670,719,1920,877
Navid_119.jpg,1920,1080,car,1278,417,1570,543
Navid_119.jpg,1920,1080,car,1461,509,1782,637
Navid_119.jpg,1920,1080,suv,1255,233,1525,374
Navid_119.jpg,1920,1080,three wheelers (CNG),1639,364,1815,498
Navid_119.jpg,1920,1080,car,635,419,935,549
Navid_119.jpg,1920,1080,minivan,433,482,757,643
Navid_119.jpg,1920,1080,bus,511,196,1015,415
Navid_119.jpg,1920,1080,bus,2,223,470,457
Navid_119.jpg,1920,1080,bus,1,595,513,872
Navid_119.jpg,1920,1080,three wheelers (CNG),302,913,557,1080
Navid_119.jpg,1920,1080,three wheelers (CNG),1,849,202,1017
Navid_119.jpg,1920,1080,motorbike,1100,235,1202,319
Navid_119.jpg,1920,1080,suv,1,490,264,600
Dipto_638.jpg,1920,1080,rickshaw,591,580,695,733
Dipto_638.jpg,1920,1080,truck,281,429,611,676
Dipto_638.jpg,1920,1080,pickup,848,532,911,576
Dipto_638.jpg,1920,1080,bus,1065,518,1130,573
Numan_(361).jpg,1920,1080,van,5,403,632,1076
Numan_(361).jpg,1920,1080,minivan,1112,629,1582,974
Numan_(361).jpg,1920,1080,three wheelers (CNG),499,702,625,846
Numan_(361).jpg,1920,1080,motorbike,844,722,872,780
Numan_(361).jpg,1920,1080,car,1028,731,1093,788
Numan_(361).jpg,1920,1080,motorbike,883,724,902,768
Numan_(361).jpg,1920,1080,pickup,981,715,1032,774
Numan_(361).jpg,1920,1080,motorbike,763,722,790,771
Pias (292).jpg,640,360,rickshaw,1,202,42,282
Pias (292).jpg,640,360,rickshaw,41,186,118,262
Pias (292).jpg,640,360,rickshaw,122,172,176,207
Pias (292).jpg,640,360,bicycle,35,272,75,350
Pias (292).jpg,640,360,three wheelers (CNG),92,200,188,311
Pias (292).jpg,640,360,bus,187,130,351,336
Pias (292).jpg,640,360,bus,382,156,640,359
Pias (292).jpg,640,360,bus,412,114,640,180
Pias (292).jpg,640,360,bus,348,106,406,160
Pias (292).jpg,640,360,bus,327,90,365,124
Pias (292).jpg,640,360,car,353,180,397,252
Dipto_ 306.jpg,1920,1080,bus,547,356,980,584
Dipto_ 306.jpg,1920,1080,bus,187,366,498,484
Navid_728.jpg,1920,1080,three wheelers (CNG),678,536,822,699
Navid_728.jpg,1920,1080,three wheelers (CNG),800,528,870,589
Navid_728.jpg,1920,1080,car,870,535,1042,599
Navid_728.jpg,1920,1080,three wheelers (CNG),1045,514,1117,573
Navid_728.jpg,1920,1080,bicycle,1118,543,1180,578
Navid_728.jpg,1920,1080,three wheelers (CNG),548,541,647,608
Navid_728.jpg,1920,1080,motorbike,439,575,524,624
Navid_728.jpg,1920,1080,rickshaw,299,553,379,643
Navid_728.jpg,1920,1080,rickshaw,168,561,226,626
Navid_728.jpg,1920,1080,three wheelers (CNG),1,572,61,625
Navid_728.jpg,1920,1080,motorbike,60,593,115,622
Navid_728.jpg,1920,1080,car,1183,513,1312,581
Navid_728.jpg,1920,1080,rickshaw,1328,499,1380,546
Navid_728.jpg,1920,1080,rickshaw,1368,495,1409,545
Navid_728.jpg,1920,1080,three wheelers (CNG),1517,422,1912,1056
Navid_728.jpg,1920,1080,bus,480,500,542,592
Dipto_583.jpg,1920,1080,bus,120,225,850,884
Dipto_663.jpg,1920,1080,motorbike,554,743,640,847
Dipto_663.jpg,1920,1080,car,1301,726,1435,759
Dipto_663.jpg,1920,1080,car,1135,731,1182,747
Dipto_663.jpg,1920,1080,car,1008,730,1109,807
Dipto_663.jpg,1920,1080,car,985,728,1018,767
Dipto_663.jpg,1920,1080,minivan,892,720,947,774
Dipto_663.jpg,1920,1080,pickup,941,720,965,762
Dipto_663.jpg,1920,1080,motorbike,876,726,888,753
Dipto_663.jpg,1920,1080,bus,1019,711,1047,728
Dipto_663.jpg,1920,1080,van,1214,724,1264,751
Dipto_ 90.jpg,1920,1080,motorbike,416,494,1905,1080
Dipto_ 90.jpg,1920,1080,pickup,1611,137,1920,483
Dipto_ 90.jpg,1920,1080,three wheelers (CNG),511,166,865,459
Dipto_ 90.jpg,1920,1080,three wheelers (CNG),888,176,1059,278
Dipto_ 90.jpg,1920,1080,suv,1213,175,1430,271
Dipto_ 90.jpg,1920,1080,car,317,236,515,340
Dipto_ 90.jpg,1920,1080,car,93,273,251,361
Dipto_ 90.jpg,1920,1080,car,30,278,104,339
Dipto_ 90.jpg,1920,1080,pickup,4,242,68,335
Numan_(182).jpg,640,360,rickshaw,444,156,613,360
Numan_(182).jpg,640,360,rickshaw,135,156,351,360
Numan_(182).jpg,640,360,rickshaw,349,153,433,288
Numan_(182).jpg,640,360,three wheelers (CNG),416,142,448,181
Numan_(182).jpg,640,360,minivan,259,135,319,156
Numan_(182).jpg,640,360,bus,511,125,600,172
Numan_(182).jpg,640,360,car,449,145,478,177
Numan_(182).jpg,640,360,car,1,163,140,244
Numan_(182).jpg,640,360,car,206,148,262,161
Numan_(182).jpg,640,360,rickshaw,311,141,356,207
Dipto_ 335.jpg,1920,1080,bus,940,265,1832,843
Dipto_ 335.jpg,1920,1080,bus,69,353,585,678
Navid_331.jpg,1280,720,car,396,540,614,690
Navid_331.jpg,1280,720,three wheelers (CNG),1,521,192,659
Navid_331.jpg,1280,720,bus,547,485,686,613
Navid_331.jpg,1280,720,bus,670,511,729,555
Navid_331.jpg,1280,720,motorbike,689,525,746,635
Navid_331.jpg,1280,720,car,713,448,1180,720
Navid_331.jpg,1280,720,car,1069,479,1214,635
20200126_170246.jpg,4160,3120,car,996,1116,1786,1512
20200126_170246.jpg,4160,3120,auto rickshaw,1772,1054,2063,1359
20200126_170246.jpg,4160,3120,car,2334,1112,2515,1259
20200126_170246.jpg,4160,3120,auto rickshaw,2539,1078,2653,1245
20200126_170246.jpg,4160,3120,motorbike,2253,1369,3082,2469
20200126_170246.jpg,4160,3120,auto rickshaw,2772,1050,2905,1245
20200126_170246.jpg,4160,3120,auto rickshaw,2658,1075,2713,1222
20200126_170246.jpg,4160,3120,auto rickshaw,2522,1106,2557,1183
20200126_170246.jpg,4160,3120,truck,2469,1092,2523,1152
